State,Abbrev,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,AL,,,,,,,,,,
Alaska,AK,,,,,,,,,,
Arizona,AZ,,,,,,,,,,
Arkansas,AR,,,,,,,,,61.7%,
California,CA,76.4%,77.0%,77.2%,76.6%,75.8%,75.3%,74.6%,75.1%,75.3%,66.7%
Colorado,CO,,,,,,,,,,
Connecticut,CT,67.4%,67.5%,,,64.0%,,,,,
Delaware,DE,,,,,77.1%,76.9%,77.1%,77.9%,75.7%,
Florida,FL,,,,,,,,,,
Georgia,GA,,,,,,,,,,
Hawaii,HI,,,,,,,51.7%,52.8%,51.9%,58.9%
Idaho,ID,,,,,,,,,,
Illinois,IL,,,,,,,,,,
Indiana,IN,,,,,,,,,,
Iowa,IA,,,,,,,,,,
Kansas,KS,,,,,,,,,,
Kentucky,KY,,,,,,,,,,
Louisiana,LA,,,,,,,,,,
Maine,ME,,,,,,,,,,
Maryland,MD,,,,,,,,,,
Massachusetts,MA,,,,,,,,,,
Michigan,MI,,,,,,,,,,
Minnesota,MN,,,,,,,,,,
Mississippi,MS,,,,,,,,,,
Missouri,MO,,,,,,,,,,
Montana,MT,,,,,,,,,,
Nebraska,NE,,,,,,,,,,
Nevada,NV,,,,,,,,,,
New Hampshire,NH,,,,,,,,,,
New Jersey,NJ,,,,57.0%,54.0%,53.0%,53.0%,53.0%,53.3%,
New Mexico,NM,,,,,,,,,,
New York,NY,,,,,,,,,,
North Carolina,NC,43.0%,,42.0%,,,47.0%,,48.6%,,48.0%
North Dakota,ND,,,,,,,,,,
Ohio,OH,,,,,,,,,,
Oklahoma,OK,,,,,,,,,,
Oregon,OR,54.4%,53.9%,52.0%,52.4%,50.4%,50.2%,50.8%,51.9%,53.9%,55.1%
Pennsylvania,PA,49.1%,50.6%,50.6%,50.4%,50.7%,49.2%,48.6%,48.6%,50.5%,48.7%
Rhode Island,RI,,,,,,,,,,
South Carolina,SC,,,,,,,,,,
South Dakota,SD,,,,,,,,,,
Tennessee,TN,,,,,,,,,,
Texas,TX,48.7%,49.1%,48.9%,48.3%,47.2%,47.2%,47.3%,46.5%,47.1%,46.4%
Utah,UT,,,,,,,,,,
Vermont,VT,,,,,,,,,,
Virginia,VA,,,,57.3%,54.9%,54.2%,55.2%,55.7%,55.9%,
Washington,WA,,,,,,,,,,
West Virginia,WV,,,,,,,,,,
Wisconsin,WI,,,,,,,,,,
Wyoming,WY,,,,,,,,,,